,BRANCH,ADDRESS,CITY,ZIP,YEAR,MONTH,CIRCULATION,MONTH_NUM
0,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,JANUARY,8427,1
1,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,FEBRUARY,7023,2
2,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,MARCH,9702,3
3,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,APRIL,9344,4
4,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,MAY,8865,5
5,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,JUNE,11650,6
6,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,JULY,11778,7
7,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,AUGUST,11306,8
8,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,SEPTEMBER,10466,9
9,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,OCTOBER,10997,10
10,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,NOVEMBER,10567,11
11,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,DECEMBER,9934,12
12,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,JANUARY,10173,1
13,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,FEBRUARY,9737,2
14,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,MARCH,11220,3
15,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,APRIL,10173,4
16,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,MAY,9045,5
17,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,JUNE,10014,6
18,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,JULY,11196,7
19,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,AUGUST,8373,8
20,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,SEPTEMBER,3261,9
21,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,OCTOBER,74,10
22,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,NOVEMBER,15,11
23,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,DECEMBER,16,12
24,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,JANUARY,0,1
25,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,FEBRUARY,0,2
26,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,MARCH,0,3
27,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,APRIL,0,4
28,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,MAY,0,5
29,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,JUNE,0,6
30,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,JULY,0,7
31,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,AUGUST,74,8
32,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,SEPTEMBER,119,9
33,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,OCTOBER,126,10
34,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,NOVEMBER,159,11
35,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,DECEMBER,94,12
36,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,JANUARY,35,1
37,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,FEBRUARY,0,2
38,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,MARCH,7,3
39,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,APRIL,40,4
40,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,MAY,3,5
41,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,JUNE,0,6
42,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,JULY,0,7
43,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,AUGUST,139,8
44,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,SEPTEMBER,11407,9
45,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,OCTOBER,15251,10
46,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,NOVEMBER,12544,11
47,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,DECEMBER,11058,12
48,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,JANUARY,7062,1
49,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,FEBRUARY,6338,2
50,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,MARCH,3957,3
51,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,APRIL,0,4
52,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,MAY,0,5
53,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,JUNE,3130,6
54,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,JULY,5015,7
55,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,AUGUST,5095,8
56,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,SEPTEMBER,4810,9
57,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,OCTOBER,4807,10
58,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,NOVEMBER,4738,11
59,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,DECEMBER,4295,12
60,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,JANUARY,4274,1
61,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,FEBRUARY,3486,2
62,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,MARCH,5170,3
63,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,APRIL,4864,4
64,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,MAY,4561,5
65,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,JUNE,5711,6
66,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,JULY,5983,7
67,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,AUGUST,5675,8
68,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,SEPTEMBER,5603,9
69,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,OCTOBER,5699,10
70,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,NOVEMBER,5370,11
71,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,DECEMBER,5238,12
72,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2022,JANUARY,5561,1
73,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2022,FEBRUARY,5082,2
74,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2022,MARCH,5921,3
75,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2022,APRIL,5671,4
76,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2022,MAY,4666,5
77,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2022,JUNE,5392,6
78,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2022,JULY,5985,7
79,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2022,AUGUST,5697,8
80,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2022,SEPTEMBER,5316,9
81,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2022,OCTOBER,4955,10
82,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2022,NOVEMBER,5416,11
83,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2022,DECEMBER,4824,12
84,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2023,JANUARY,5420,1
85,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2023,FEBRUARY,4713,2
86,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2023,MARCH,5962,3
87,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2023,APRIL,5274,4
88,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2023,MAY,4537,5
