,BRANCH,ADDRESS,CITY,ZIP,YEAR,MONTH,COMPUTER SESSIONS,MONTH_NUM
0,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2011,JANUARY,1666.0,1
1,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2011,FEBRUARY,1296.0,2
2,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2011,MARCH,1735.0,3
3,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2011,APRIL,1841.0,4
4,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2011,MAY,1683.0,5
5,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2011,JUNE,2138.0,6
6,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2011,JULY,2267.0,7
7,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2011,AUGUST,2434.0,8
8,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2011,SEPTEMBER,1746.0,9
9,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2011,OCTOBER,1837.0,10
10,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2011,NOVEMBER,1729.0,11
11,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2011,DECEMBER,1594.0,12
12,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2012,JANUARY,1531.0,1
13,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2012,FEBRUARY,1638.0,2
14,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2012,MARCH,1746.0,3
15,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2012,APRIL,1738.0,4
16,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2012,MAY,1673.0,5
17,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2012,JUNE,1812.0,6
18,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2012,JULY,2162.0,7
19,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2012,AUGUST,2122.0,8
20,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2012,SEPTEMBER,1001.0,9
21,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2012,OCTOBER,0.0,10
22,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2012,NOVEMBER,0.0,11
23,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2012,DECEMBER,0.0,12
24,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2013,JANUARY,0.0,1
25,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2013,FEBRUARY,0.0,2
26,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2013,MARCH,0.0,3
27,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2013,APRIL,0.0,4
28,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2013,MAY,0.0,5
29,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2013,JUNE,0.0,6
30,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2013,JULY,0.0,7
31,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2013,AUGUST,0.0,8
32,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2013,SEPTEMBER,0.0,9
33,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2013,OCTOBER,0.0,10
34,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2013,NOVEMBER,0.0,11
35,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625,2013,DECEMBER,0.0,12
36,Albany Park,3401 W. Foster Ave.,Chicago,60625,2020,JANUARY,1621.0,1
37,Albany Park,3401 W. Foster Ave.,Chicago,60625,2020,FEBRUARY,1484.0,2
38,Albany Park,3401 W. Foster Ave.,Chicago,60625,2020,MARCH,765.0,3
39,Albany Park,3401 W. Foster Ave.,Chicago,60625,2020,APRIL,0.0,4
40,Albany Park,3401 W. Foster Ave.,Chicago,60625,2020,MAY,0.0,5
41,Albany Park,3401 W. Foster Ave.,Chicago,60625,2020,JUNE,276.0,6
42,Albany Park,3401 W. Foster Ave.,Chicago,60625,2020,JULY,511.0,7
43,Albany Park,3401 W. Foster Ave.,Chicago,60625,2020,AUGUST,561.0,8
44,Albany Park,3401 W. Foster Ave.,Chicago,60625,2020,SEPTEMBER,621.0,9
45,Albany Park,3401 W. Foster Ave.,Chicago,60625,2020,OCTOBER,565.0,10
46,Albany Park,3401 W. Foster Ave.,Chicago,60625,2020,NOVEMBER,509.0,11
47,Albany Park,3401 W. Foster Ave.,Chicago,60625,2020,DECEMBER,457.0,12
48,Albany Park,3401 W. Foster Ave.,Chicago,60625,2021,JANUARY,479.0,1
