,BRANCH,ADDRESS,CITY,ZIP,YEAR,MONTH,VISITORS,MONTH_NUM
0,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,JANUARY,9604.0,1
1,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,FEBRUARY,10500.0,2
2,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,MARCH,9050.0,3
3,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,APRIL,9300.0,4
4,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,MAY,8271.0,5
5,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,JUNE,10984.0,6
6,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,JULY,9986.0,7
7,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,AUGUST,11078.0,8
8,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,SEPTEMBER,9453.0,9
9,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,OCTOBER,10213.0,10
10,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,NOVEMBER,9377.0,11
11,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2011,DECEMBER,9609.0,12
12,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,JANUARY,7946.0,1
13,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,FEBRUARY,8268.0,2
14,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,MARCH,10024.0,3
15,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,APRIL,9166.0,4
16,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,MAY,9185.0,5
17,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,JUNE,9515.0,6
18,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,JULY,10298.0,7
19,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,AUGUST,9742.0,8
20,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,SEPTEMBER,4341.0,9
21,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,OCTOBER,0.0,10
22,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,NOVEMBER,0.0,11
23,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2012,DECEMBER,0.0,12
24,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,JANUARY,0.0,1
25,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,FEBRUARY,0.0,2
26,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,MARCH,0.0,3
27,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,APRIL,0.0,4
28,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,MAY,0.0,5
29,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,JUNE,0.0,6
30,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,JULY,0.0,7
31,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,AUGUST,74.0,8
32,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,SEPTEMBER,105.0,9
33,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,OCTOBER,117.0,10
34,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,NOVEMBER,89.0,11
35,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2013,DECEMBER,36.0,12
36,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,JANUARY,0.0,1
37,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,FEBRUARY,0.0,2
38,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,MARCH,11.0,3
39,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,APRIL,13.0,4
40,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,MAY,10.0,5
41,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,JUNE,24.0,6
42,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,JULY,0.0,7
43,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,AUGUST,0.0,8
44,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,SEPTEMBER,12446.0,9
45,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,OCTOBER,16239.0,10
46,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,NOVEMBER,12440.0,11
47,Albany Park,5150 N. Kimball Avenue,CHICAGO,60625.0,2014,DECEMBER,11933.0,12
48,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,JANUARY,9878.0,1
49,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,FEBRUARY,9473.0,2
50,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,MARCH,5077.0,3
51,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,APRIL,0.0,4
52,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,MAY,0.0,5
53,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,JUNE,3188.0,6
54,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,JULY,4156.0,7
55,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,AUGUST,4566.0,8
56,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,SEPTEMBER,4295.0,9
57,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,OCTOBER,4272.0,10
58,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,NOVEMBER,3727.0,11
59,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2020,DECEMBER,3567.0,12
60,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,JANUARY,3419.0,1
61,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,FEBRUARY,3366.0,2
62,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,MARCH,4404.0,3
63,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,APRIL,4299.0,4
64,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,MAY,4256.0,5
65,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,JUNE,4958.0,6
66,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,JULY,5325.0,7
67,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,AUGUST,5877.0,8
68,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,SEPTEMBER,6740.0,9
69,Albany Park,3401 W. Foster Ave.,Chicago,60625.0,2021,OCTOBER,7259.0,10
