BRANCH,YEAR,VISITORS,CIRCULATION,COMPUTER SESSIONS,LAT,LON
Albany Park,2020,52199.0,49247.0,7370.0,41.97557881655979,-87.71361314512697
Albany Park,2021,62840.0,61634.0,8838.0,41.97557881655979,-87.71361314512697
Albany Park,2022,79075.0,64486.0,13089.0,41.97557881655979,-87.71361314512697
Albany Park,2023,87206.0,59851.0,12477.0,41.97557881655979,-87.71361314512697
Albany Park,2024,89939.0,55168.0,12667.0,41.97557881655979,-87.71361314512697
Albany Park,2025,79887.0,53526.0,13518.0,41.97557881655979,-87.71361314512697
Altgeld,2020,5666.0,1109.0,852.0,41.65719847558056,-87.59883829075173
Altgeld,2021,10760.0,1934.0,6719.0,41.65719847558056,-87.59883829075173
Altgeld,2022,38946.0,2641.0,11282.0,41.65719847558056,-87.59883829075173
Altgeld,2023,43605.0,1569.0,5388.0,41.65719847558056,-87.59883829075173
Altgeld,2024,51071.0,2442.0,8353.0,41.65719847558056,-87.59883829075173
Altgeld,2025,50719.0,1770.0,9532.0,41.65719847558056,-87.59883829075173
Archer Heights,2020,40849.0,23929.0,6910.0,41.80110836194246,-87.72648385568911
Archer Heights,2021,34665.0,26320.0,7223.0,41.80110836194246,-87.72648385568911
Archer Heights,2022,41847.0,27343.0,8782.0,41.80110836194246,-87.72648385568911
Archer Heights,2023,44118.0,21614.0,7780.0,41.80110836194246,-87.72648385568911
Archer Heights,2024,46130.0,23643.0,9710.0,41.80110836194246,-87.72648385568911
Archer Heights,2025,50336.0,25195.0,11249.0,41.80110836194246,-87.72648385568911
Austin,2020,48452.0,8392.0,9731.0,41.88917312206642,-87.7658203582574
Austin,2021,35321.0,7108.0,8554.0,41.88917312206642,-87.7658203582574
Austin,2022,41194.0,7589.0,10235.0,41.88917312206642,-87.7658203582574
Austin,2023,60079.0,8674.0,11538.0,41.88917312206642,-87.7658203582574
Austin,2024,65037.0,13244.0,11812.0,41.88917312206642,-87.7658203582574
Austin,2025,57306.0,10031.0,14663.0,41.88917312206642,-87.7658203582574
Austin-Irving,2020,44549.0,56704.0,4848.0,41.95312267684315,-87.77928489355646
Austin-Irving,2021,48720.0,62934.0,5423.0,41.95312267684315,-87.77928489355646
Austin-Irving,2022,55987.0,63482.0,7353.0,41.95312267684315,-87.77928489355646
Austin-Irving,2023,32539.0,49505.0,6469.0,41.95312267684315,-87.77928489355646
Austin-Irving,2024,39359.0,51570.0,7367.0,41.95312267684315,-87.77928489355646
Austin-Irving,2025,63914.0,55284.0,8787.0,41.95312267684315,-87.77928489355646
Avalon,2020,45243.0,16799.0,12900.0,41.746393038286826,-87.5860053710736
Avalon,2021,46853.0,16003.0,12882.0,41.746393038286826,-87.5860053710736
Avalon,2022,47736.0,15567.0,15937.0,41.746393038286826,-87.5860053710736
Avalon,2023,47071.0,15327.0,17058.0,41.746393038286826,-87.5860053710736
Avalon,2024,49563.0,13209.0,15115.0,41.746393038286826,-87.5860053710736
Avalon,2025,60673.0,14389.0,20784.0,41.746393038286826,-87.5860053710736
Back of the Yards,2020,20016.0,11151.0,4284.0,41.808384423666354,-87.67756963874196
Back of the Yards,2021,25385.0,12416.0,4957.0,41.808384423666354,-87.67756963874196
Back of the Yards,2022,31258.0,12242.0,5557.0,41.808384423666354,-87.67756963874196
Back of the Yards,2023,38437.0,11373.0,6253.0,41.808384423666354,-87.67756963874196
Back of the Yards,2024,38154.0,9595.0,5689.0,41.808384423666354,-87.67756963874196
Back of the Yards,2025,36447.0,9547.0,5752.0,41.808384423666354,-87.67756963874196
Beverly,2020,17422.0,29173.0,4882.0,41.72118978926962,-87.67214620967468
Beverly,2021,23456.0,35849.0,6503.0,41.72118978926962,-87.67214620967468
Beverly,2022,22233.0,26961.0,6571.0,41.72118978926962,-87.67214620967468
Beverly,2023,35843.0,36873.0,10896.0,41.72118978926962,-87.67214620967468
Beverly,2024,37725.0,36478.0,11647.0,41.72118978926962,-87.67214620967468
Beverly,2025,59209.0,35265.0,13733.0,41.72118978926962,-87.67214620967468
Bezazian,2020,41366.0,60551.0,10322.0,41.97155143669217,-87.66095347964183
Bezazian,2021,43661.0,57073.0,9142.0,41.97155143669217,-87.66095347964183
Bezazian,2022,55207.0,76814.0,15409.0,41.97155143669217,-87.66095347964183
Bezazian,2023,48236.0,72641.0,15029.0,41.97155143669217,-87.66095347964183
Bezazian,2024,52187.0,71030.0,14663.0,41.97155143669217,-87.66095347964183
Bezazian,2025,98018.0,76831.0,15201.0,41.97155143669217,-87.66095347964183
Blackstone,2020,20075.0,60837.0,7210.0,41.80549277198318,-87.58923748614112
Blackstone,2021,61010.0,80757.0,8963.0,41.80549277198318,-87.58923748614112
Blackstone,2022,76626.0,81017.0,11773.0,41.80549277198318,-87.58923748614112
Blackstone,2023,91125.0,78596.0,12142.0,41.80549277198318,-87.58923748614112
Blackstone,2024,61562.0,79340.0,15352.0,41.80549277198318,-87.58923748614112
Blackstone,2025,100682.0,82000.0,17198.0,41.80549277198318,-87.58923748614112
Brainerd,2020,10608.0,3577.0,3659.0,41.73244482025524,-87.65772892721816
Brainerd,2021,7313.0,3321.0,3442.0,41.73244482025524,-87.65772892721816
Brainerd,2022,12342.0,3899.0,5652.0,41.73244482025524,-87.65772892721816
Brainerd,2023,13810.0,3541.0,5536.0,41.73244482025524,-87.65772892721816
Brainerd,2024,13136.0,3865.0,6960.0,41.73244482025524,-87.65772892721816
Brainerd,2025,26008.0,3445.0,7386.0,41.73244482025524,-87.65772892721816
Brighton Park,2020,18470.0,19047.0,4042.0,"41.81516027827089""",-87.70273371160454
Brighton Park,2021,16216.0,14957.0,4010.0,"41.81516027827089""",-87.70273371160454
Brighton Park,2022,32956.0,17940.0,6159.0,"41.81516027827089""",-87.70273371160454
Brighton Park,2023,41115.0,19433.0,7121.0,"41.81516027827089""",-87.70273371160454
Brighton Park,2024,41918.0,18103.0,8161.0,"41.81516027827089""",-87.70273371160454
Brighton Park,2025,42188.0,16134.0,9556.0,"41.81516027827089""",-87.70273371160454
Bucktown-Wicker Park,2020,56489.0,74873.0,5267.0,41.91235487836141,-87.68029967133904
Bucktown-Wicker Park,2021,66986.0,89707.0,6219.0,41.91235487836141,-87.68029967133904
Bucktown-Wicker Park,2022,86093.0,98867.0,9255.0,41.91235487836141,-87.68029967133904
