"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Albany Park  ","5150 N. Kimball Avenue","CHICAGO","60625","9,604","10,500","9,050","9,300","8,271","10,984","9,986","11,078","9,453","10,213","9,377","9,609","117,425"
"Altgeld  ","13281 S. Corliss Avenue","CHICAGO","60827","5,809","3,899","5,207","5,201","4,494","5,760","3,653","2,414","4,552","6,891","5,698","5,079","58,657"
"Archer Heights*","5055 S. Archer Avenue","CHICAGO","60632","9,829","9,394","11,342","11,114","9,365","11,247","10,329","11,231","10,373","11,364","10,011","9,054","124,653"
"Austin ","5615 W. Race Avenue","CHICAGO","60644","6,713","6,250","7,054","9,139","8,857","9,586","8,352","10,359","9,151","10,016","8,461","8,368","102,306"
"Austin-Irving  ","6100 W. Irving Park Road","CHICAGO","60634","11,556","9,904","13,214","13,064","10,969","12,587","12,596","13,638","12,542","13,286","11,868","10,628","145,852"
"Avalon*","8148 S. Stony Island Avenue ","CHICAGO","60617","16,074","15,046","14,825","12,685","10,150","14,235","12,205","10,245","10,864","13,085","11,005","9,943","150,362"
"Back of the Yards ","4650 S. Damen Avenue","CHICAGO","60609","5,895","6,263","8,204","8,504","7,475","6,597","7,910",,"0","0","0","0","50,848"
"Beverly*","1962 W. 95th Street","CHICAGO","60643","9,504","7,135","10,271","9,508","8,815","10,869","11,346","11,310","10,350","11,098","10,121","8,622","118,949"
"Bezazian ","1226 W. Ainslie Street","CHICAGO","60640","11,848","10,814","14,679","15,324","14,672","17,351","16,600","19,362","17,892","17,309","16,175","14,907","186,933"
"Blackstone ","4904 S. Lake Park Avenue","CHICAGO","60615","11,535","9,206","13,436","12,622","11,417","13,877","13,343","14,054","13,241","14,234","12,876","12,756","152,597"
"Brainerd*","1350 W. 89th Street","CHICAGO","60620","4,034","3,214","4,469","5,016","3,714","5,896","5,571","5,747","6,284","10,390","7,022","4,634","65,991"
"Brighton Park ","4314 S. Archer Avenue","CHICAGO","60632","7,380","6,119","8,691","8,799","7,921","9,801","9,914","9,607","8,463","10,136","8,689","8,209","103,729"
"Bucktown-Wicker Park ","1701 N. Milwaukee Avenue","CHICAGO","60647","12,661","13,314","14,790","13,671","12,321","14,147","14,049","14,611","12,990","13,231","12,611","11,333","159,729"
"Budlong Woods*","5630 N. Lincoln Avenue","CHICAGO","60659","16,769","11,152","18,561","15,723","14,857","16,925","15,494","15,175","15,952","16,414","15,653","14,152","186,827"
"Canaryville ","642 W. 43rd Street","CHICAGO","60609","3,810","3,447","4,936","4,126","4,026","6,659","5,317","6,618","3,954","6,671","4,433","3,852","57,849"
"Chicago Bee*","3647 S. State Street","CHICAGO","60609","4,819","6,649","6,058","6,095","6,710","4,677","4,650","4,815","5,902","6,200","5,472","5,557","67,604"
"Chicago Lawn  ","6120 S. Kedzie Avenue ","CHICAGO","60629","7,553","6,993","8,428","9,216","8,969","10,647","9,487","9,546","9,049","10,520","7,991","7,170","105,569"
"Chinatown ","2353 S. Wentworth Avenue","CHICAGO","60616","22,944","19,704","26,364","24,990","23,609","28,856","24,657","27,737","24,229","25,560","21,781","21,286","291,717"
