"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Albany Park","5150 N. Kimball Avenue","CHICAGO","60625","10,173","9,737","11,220","10,173","9,045","10,014","11,196","8,373","3,261","74","15","16","83,297"
"Altgeld","13281 S. Corliss Avenue","CHICAGO","60827","674","513","401","631","531","661","809","987","1,346","1,451","1,030","976","10,010"
"Archer Heights","5055 S. Archer Avenue","CHICAGO","60632","7,855","7,682","8,151","7,703","7,704","7,294","7,735","7,886","9,076","9,679","8,793","7,698","97,256"
"Austin","5615 W. Race Avenue","CHICAGO","60644","2,120","1,964","1,960","2,117","1,960","2,004","2,329","2,466","2,686","2,738","2,311","1,869","26,524"
"Austin-Irving","6100 W. Irving Park Road","CHICAGO","60634","12,495","12,977","13,369","12,672","11,622","13,316","13,630","13,640","14,050","14,362","13,429","11,843","157,405"
"Avalon","8148 S. Stony Island Avenue ","CHICAGO","60617","5,515","5,290","5,717","5,270","4,985","5,422","5,543","6,068","6,257","6,737","5,344","4,737","66,885"
"Beverly","1962 W. 95th Street","CHICAGO","60643","7,375","7,477","8,110","7,279","6,798","8,735","8,791","8,108","7,819","7,739","6,800","5,670","90,701"
"Bezazian","1226 W. Ainslie Street","CHICAGO","60640","14,238","13,819","14,949","14,142","14,328","15,243","15,999","16,184","15,233","15,893","14,405","13,423","177,856"
"Blackstone","4904 S. Lake Park Avenue","CHICAGO","60615","10,487","10,675","11,585","11,231","11,007","12,791","12,979","12,364","12,284","11,786","10,794","10,363","138,346"
"Brainerd","1350 W. 89th Street","CHICAGO","60620","1,042","942","1,094","1,043","945","1,164","1,296","1,517","1,491","1,650","1,367","1,262","14,813"
"Brighton Park","4314 S. Archer Avenue","CHICAGO","60632","7,626","7,660","7,970","7,975","7,198","6,796","5,883","6,523","7,251","7,782","5,317","4,419","82,400"
"Bucktown-Wicker Park","1701 N. Milwaukee Avenue","CHICAGO","60647","13,049","12,597","14,014","13,543","13,127","14,297","14,667","15,001","14,542","15,289","13,923","11,892","165,941"
"Budlong Woods","5630 N. Lincoln Avenue","CHICAGO","60659","11,676","12,629","13,609","12,872","12,148","13,227","14,047","14,325","13,998","16,145","14,722","13,356","162,754"
"Canaryville","642 W. 43rd Street","CHICAGO","60609","2,765","2,923","3,217","2,951","2,921","3,296","3,208","3,514","3,660","3,984","3,465","2,867","38,771"
