"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD"
"Albany Park ","5150 N. Kimball Avenue","CHICAGO","60625","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Altgeld ","13281 S. Corliss Avenue","CHICAGO","60827","3,489","2,591","2,923","3,060","2,461","2,448","2,883","3,319","2,713","2,893","2,984","2,643","34,407"
"Archer Heights ","5055 S. Archer Avenue","CHICAGO","60632","2,147","1,759","1,945","1,965","1,768","1,816","2,065","2,134","2,182","2,346","2,163","1,728","24,018"
"Austin ","5615 W. Race Avenue","CHICAGO","60644","2,388","1,806","2,094","2,132","1,928","2,143","2,620","2,249","2,165","2,498","2,033","1,983","26,039"
"Austin-Irving ","6100 W. Irving Park Road","CHICAGO","60634","2,101","1,751","1,905","1,956","1,931","1,748","1,977","1,999","2,083","2,267","2,023","1,580","23,321"
"Avalon","8148 S. Stony Island Avenue ","CHICAGO","60617","4,228","3,379","3,731","3,804","3,914","4,150","4,661","4,538","3,923","4,163","3,662","3,206","47,359"
"Back of the Yards","2111 W. 47th Street","CHICAGO","60609","0","0","0","0","0","0","0","100","1,443","2,198","2,118","1,732","7,591"
"Beverly","1962 W. 95th Street","CHICAGO","60643","2,798","2,253","2,668","2,945","2,767","2,765","3,078","3,139","2,692","2,884","2,472","2,040","32,501"
"Bezazian","1226 W. Ainslie Street","CHICAGO","60640","2,757","2,335","2,711","2,718","2,729","2,690","2,818","3,088","2,655","2,998","2,742","2,649","32,890"
"Blackstone","4904 S. Lake Park Avenue","CHICAGO","60615","2,770","2,269","2,510","2,600","2,493","2,498","2,826","3,068","2,671","3,064","2,820","2,547","32,136"
"Brainerd","1350 W. 89th Street","CHICAGO","60620","1,773","1,501","1,799","1,727","1,625","1,850","1,890","2,101","1,758","2,256","1,977","1,606","21,863"
"Brighton Park ","4314 S. Archer Avenue","CHICAGO","60632","2,135","1,700","2,223","1,995","1,889","2,061","2,503","2,634","2,166","2,355","2,209","1,729","25,599"
"Bucktown-Wicker Park","1701 N. Milwaukee Avenue","CHICAGO","60647","2,384","1,910","2,298","2,284","2,141","2,131","2,337","2,518","2,324","2,413","2,133","1,775","26,648"
"Budlong Woods","5630 N. Lincoln Avenue","CHICAGO","60659","2,330","2,022","2,295","2,391","2,233","2,390","2,659","2,657","2,377","2,696","2,478","2,121","28,649"
"Canaryville","642 W. 43rd Street","CHICAGO","60609","1,821","1,458","1,667","1,711","1,472","1,463","1,407","1,475","1,363","1,609","1,582","1,383","18,411"
"Chicago Bee","3647 S. State Street","CHICAGO","60609","1,649","1,379","1,458","1,498","1,547","1,500","1,391","1,708","1,911","2,040","1,729","1,574","19,384"
"Chicago Lawn","6120 S. Kedzie Avenue ","CHICAGO","60629","2,603","1,990","2,236","2,394","2,236","2,338","2,758","2,698","2,135","2,621","2,408","2,285","28,702"
"Chinatown ","2353 S. Wentworth Avenue","CHICAGO","60616","3,080","2,597","2,952","2,786","2,680","2,782","3,026","3,110","2,418","2,738","2,691","2,292","33,152"
"Clearing","6423 W. 63rd Place","CHICAGO","60638","1,367","1,195","1,425","1,479","1,385","1,325","1,482","1,327","1,353","1,460","1,297","1,022","16,117"
"Coleman","731 E. 63rd Street","CHICAGO","60637","3,597","2,935","3,095","3,191","3,264","3,304","3,330","3,691","3,549","3,822","3,476","3,121","40,375"
"Daley, Richard J.-Bridgeport","3400 S. Halsted Street","CHICAGO","60608","2,137","1,625","2,069","1,968","1,935","2,024","2,267","2,492","2,046","2,096","1,994","1,824","24,477"
"Daley, Richard M.-W Humboldt","733 N. Kedzie Avenue","CHICAGO","60612","5,924","4,578","5,404","5,855","5,428","6,318","6,406","7,250","5,757","6,482","5,981","4,946","70,329"
"Douglass","3353 W. 13th Street","CHICAGO","60623","3,253","2,493","2,764","2,638","2,631","3,035","3,374","3,700","3,135","3,477","3,209","2,904","36,613"
"Dunning","7455 W. Cornelia Avenue","CHICAGO","60634","2,222","1,783","2,056","2,100","1,993","2,207","2,514","2,515","2,159","2,466","2,221","2,067","26,303"
"Edgebrook","5331 W. Devon Avenue","CHICAGO","60646","934","765","882","1,034","461","914","874","972","988","1,011","956","824","10,615"
"Edgewater","6000 N. Broadway Street","CHICAGO","60660","0","0","0","0","0","1,141","4,895","5,430","4,720","5,890","5,154","4,525","31,755"
"Gage Park","2807 W. 55th Street","CHICAGO","60632","1,502","950","1,451","1,409","1,696","1,373","1,889","1,744","1,307","1,421","1,517","103","16,362"
"Galewood Mont-Clare","6871 W. Belden Avenue","CHICAGO","60707","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Garfield Ridge","6348 S. Archer Avenue","CHICAGO","60638","1,323","1,122","1,241","1,293","1,209","1,286","1,329","1,479","1,396","1,543","1,526","1,201","15,948"
"Greater Grand Crossing","1000 East 73rd Street","CHICAGO","60619","2,844","2,099","2,281","2,341","2,285","2,279","2,858","2,990","2,742","3,034","2,579","2,334","30,666"
"Hall ","4801 S. Michigan Avenue","CHICAGO","60615","1,585","1,250","1,308","1,554","1,368","1,416","1,798","1,819","1,859","2,497","2,528","2,312","21,294"
"Harold Washington Library Center","400 S. State Street","CHICAGO","60605","33,738","28,898","32,043","33,099","31,420","31,479","33,897","35,428","32,721","35,681","31,935","31,440","391,779"
"Hegewisch","3048 E. 130th Street","CHICAGO","60633","768","582","689","699","634","704","750","818","849","896","841","650","8,880"
"Humboldt Park","1605 N. Troy Street","CHICAGO","60647","0","990","2,391","2,685","2,798","3,305","4,308","4,308","3,768","4,023","4,130","3,193","35,899"
"Independence ","3548 W. Irving Park Road","CHICAGO","60618","2,058","1,568","1,979","2,033","1,756","1,800","2,019","2,182","1,956","1,998","1,916","1,649","22,914"
"Jefferson Park","5363 W. Lawrence Avenue","CHICAGO","60630","1,680","1,467","1,666","1,814","1,624","1,603","1,861","1,857","1,854","2,003","1,891","1,592","20,912"
