"MONTH","YEAR","NUMBER OF SESSIONS","YTD"
"January","2014","195,108","2,570,635"
"February","2014","195,439","2,766,074"
"March","2014","239,094","3,005,168"
"April","2014","256,150","3,261,318"
"May","2014","242,929","3,504,247"
"June","2014","255,340","3,759,587"
"July","2014","284,100","4,043,687"
"August","2014","267,902","4,311,589"
"September","2014","279,657","4,591,246"
"October","2014","301,092","4,892,338"
"November","2014","265,207","5,157,545"
"December ","2014","264,618","5,422,163"
