"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","LOCATION"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","7,062","6,338","3,957","0","0","3,130","5,015","5,095","4,810","4,807","4,738","4,295","49,247","POINT (-87.713595 41.975693)"
"Altgeld","13281 S. Corliss Ave.","Chicago","60827","360","271","148","0","0","0","0","0","23","1","141","165","1,109","POINT (-87.602139 41.653968)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","3,769","3,498","2,681","0","0","1,398","2,151","2,103","2,194","2,365","1,954","1,816","23,929","POINT (-87.726723 41.801206)"
"Austin","5615 W. Race Ave.","Chicago","60644","1,315","1,235","809","0","0","452","730","920","944","782","639","566","8,392","POINT (-87.766942 41.889281)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","7,877","7,175","4,749","0","0","4,077","6,122","5,898","6,365","5,869","4,495","4,077","56,704","POINT (-87.779388 41.953025)"
"Auto-Renewals",,,,"541,865","534,965","703,214","897,679","823,205","747,729","631,669","611,469","748,206","602,692","692,813","687,304","8,222,810",
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","2,531","2,244","1,798","0","0","917","1,466","1,349","1,543","1,935","1,407","1,609","16,799","POINT (-87.585869 41.746322)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","1,889","1,847","1,541","0","0","570","798","818","1,087","1,026","857","718","11,151","POINT (-87.677601 41.808523)"
"Beverly","1962 W. 95th St.","Chicago","60643","3,746","3,822","3,017","0","0","1,937","2,928","2,817","2,940","2,793","2,824","2,349","29,173","POINT (-87.672288 41.721148)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","8,134","7,405","5,063","1","0","4,028","6,402","6,339","6,441","6,726","5,794","4,218","60,551","POINT (-87.66074 41.971414)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","7,975","7,461","4,281","0","0","4,583","6,324","5,951","6,350","6,111","5,961","5,840","60,837","POINT (-87.590213 41.80762)"
"Brainerd","1350 W. 89th St.","Chicago","60620","583","450","314","0","0","139","288","382","364","488","258","311","3,577","POINT (-87.657726 41.732282)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","3,047","2,830","2,327","0","0","881","1,610","1,969","1,859","1,914","1,373","1,237","19,047","POINT (-87.703067 41.814848)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","9,696","9,222","6,361","0","0","4,494","6,914","7,265","7,067","9,118","7,314","7,422","74,873","POINT (-87.680298 41.912224)"
