"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","Location"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","4,376","4,567","4,959","4,233","4,065","4,163","5,423","4,712","4,229","4,667","3,950","4,182","53,526","POINT (-87.71408 41.97569)"
"Altgeld","955 E. 131st St.","Chicago","60827","120","145","209","166","173","146","101","133","147","188","106","136","1,770","POINT (-87.59861 41.65728)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","1,809","1,896","2,381","2,034","1,996","2,017","2,162","2,196","2,399","2,453","2,052","1,800","25,195","POINT (-87.72663 41.8007)"
"Austin","5615 W. Race Ave.","Chicago","60644","1,155","671","862","535","722","827","918","991","940","777","994","639","10,031","POINT (-87.76597 41.88929)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","4,042","4,356","5,153","4,496","4,724","4,684","5,196","4,628","4,646","4,752","4,293","4,314","55,284","POINT (-87.77952 41.95321)"
"Auto-Renewals",,,,"552,743","514,842","566,355","577,200","579,553","546,556","559,837","519,272","519,545","564,255","534,935","545,489","6,580,582",
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","1,147","1,156","1,210","1,058","1,341","1,005","1,294","1,313","1,162","1,475","1,038","1,190","14,389","POINT (-87.58584 41.74633)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","690","726","744","1,086","696","723","1,061","710","683","1,041","694","693","9,547","POINT (-87.67765 41.80867)"
"Beverly","1962 W. 95th St.","Chicago","60643","2,672","2,662","3,123","3,001","2,794","3,425","3,439","3,150","2,822","3,275","2,488","2,414","35,265","POINT (-87.6723 41.72114)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","6,255","6,272","6,821","6,177","6,412","6,196","6,575","6,854","6,889","6,792","5,697","5,891","76,831","POINT (-87.6602 41.97181)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","7,117","7,156","7,477","6,906","6,571","6,943","6,993","7,226","6,594","6,855","6,366","5,796","82,000","POINT (-87.59046 41.80606)"
"Brainerd","1350 W. 89th St.","Chicago","60620","286","241","342","281","349","279","318","299","284","315","246","205","3,445","POINT (-87.65774 41.73232)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","1,389","1,335","1,439","1,343","1,305","1,518","1,365","1,409","1,420","1,351","1,189","1,071","16,134","POINT (-87.70303 41.81483)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","10,933","9,964","10,875","9,912","5,036","9,589","10,453","10,073","9,740","9,824","8,962","7,779","113,140","POINT (-87.68051 41.91277)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","6,242","6,075","6,436","6,034","5,598","5,927","6,801","6,180","5,878","6,048","5,733","5,249","72,201","POINT (-87.69647 41.98393)"
"Canaryville","642 W. 43rd St.","Chicago","60609","885","978","1,205","818","899","927","1,016","1,024","929","985","894","799","11,359","POINT (-87.64257 41.81624)"
"Chicago Bee","3647 S. State St.","Chicago","60609","703","566","593","708","674","731","871","812","885","827","636","615","8,621","POINT (-87.62649 41.82815)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","1,039","958","1,167","991","1,158","1,072","1,058","1,013","1,253","1,302","1,161","915","13,087","POINT (-87.70321 41.78186)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","3,304","3,428","4,307","3,645","3,815","3,790","4,232","4,181","3,906","3,497","3,844","3,370","45,319","POINT (-87.63181 41.85419)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","1,888","1,686","1,802","1,627","1,474","1,867","2,079","1,901","1,812","1,973","1,536","1,482","21,127","POINT (-87.7822 41.77659)"
"Coleman","731 E. 63rd St.","Chicago","60637","894","1,060","1,018","1,001","940","988","950","1,106","1,033","959","962","644","11,555","POINT (-87.60662 41.78014)"
"Daley, Richard J.- Bridgeport","3400 S. Halsted St.","Chicago","60608","3,451","3,162","3,895","3,580","3,509","4,099","3,831","4,199","3,620","3,657","3,375","2,834","43,212","POINT (-87.64615 41.83257)"
"Daley, Richard M.- W Humboldt","733 N. Kedzie Ave.","Chicago","60612","996","1,147","1,192","1,113","1,244","1,221","1,041","1,018","1,317","1,235","920","777","13,221","POINT (-87.70618 41.89509)"
"Douglass","3353 W. 13th St.","Chicago","60623","299","325","286","427","327","273","470","488","390","450","361","260","4,356","POINT (-87.70967 41.86454)"
"Downloadable Media",,,,"435,644","388,595","424,156","412,484","394,532","388,430","399,603","334,164","335,172","345,508","332,623","351,539","4,542,450",
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","2,947","2,954","3,336","2,680","2,825","3,171","3,167","3,250","3,123","3,129","2,648","2,685","35,915","POINT (-87.81368 41.94307)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","5,774","5,641","6,336","5,454","5,413","6,488","6,593","6,271","5,401","5,481","5,504","5,084","69,440","POINT (-87.76197 41.99727)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","10,543","10,464","11,272","10,275","9,733","10,021","10,892","11,786","10,912","10,199","9,288","9,574","124,959","POINT (-87.66057 41.9913)"
"Gage Park","2807 W. 55th St.","Chicago","60632","586","622","677","708","581","730","940","608","637","636","567","486","7,778","POINT (-87.69418 41.79369)"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.79733 41.92115)"
