"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","LOCATION"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","874","1,098","952","974","1,087","1,122","1,212","1,202","1,065","1,231","940","910","12,667","POINT (-87.71408 41.97569)"
"Altgeld","955 E. 131st St.","Chicago","60827","353","414","371","389","733","854","1,028","989","852","720","789","861","8,353","POINT (-87.59861 41.65728)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","697","687","821","723","751","731","879","922","868","994","791","846","9,710","POINT (-87.72663 41.8007)"
"Austin","5615 W. Race Ave.","Chicago","60644","897","808","805","936","1,016","1,078","1,077","1,196","1,137","1,020","1,018","824","11,812","POINT (-87.76597 41.88929)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","516","570","630","603","593","556","647","643","622","666","670","651","7,367","POINT (-87.77952 41.95321)"
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","1,267","1,339","1,509","0","836","1,161","1,626","1,524","1,423","1,778","1,371","1,281","15,115","POINT (-87.58584 41.74633)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","420","405","460","370","380","409","570","547","502","654","501","471","5,689","POINT (-87.67763 41.80849)"
"Beverly","1962 W. 95th St.","Chicago","60643","778","821","881","965","860","791","909","1,106","1,185","1,275","1,140","936","11,647","POINT (-87.6723 41.72114)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","996","1,019","1,000","1,063","1,130","1,048","1,339","1,570","1,509","1,431","1,356","1,202","14,663","POINT (-87.66009 41.97146)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","1,007","1,024","962","1,119","1,183","1,240","1,595","1,588","1,514","1,636","1,350","1,134","15,352","POINT (-87.59046 41.80606)"
"Brainerd","1350 W. 89th St.","Chicago","60620","316","432","474","584","554","723","630","640","741","811","636","419","6,960","POINT (-87.65774 41.73232)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","558","619","662","607","575","674","749","800","683","833","746","655","8,161","POINT (-87.70303 41.81483)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","802","864","862","884","895","891","1,004","1,052","1,058","1,120","854","697","10,983","POINT (-87.68051 41.91277)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","852","931","752","747","721","1,016","1,349","1,532","1,279","1,050","886","1,015","12,130","POINT (-87.69663 41.98353)"
"Canaryville","642 W. 43rd St.","Chicago","60609","257","194","211","192","193","234","345","376","335","424","387","308","3,456","POINT (-87.64257 41.81624)"
"Chicago Bee","3647 S. State St.","Chicago","60609","352","418","451","497","495","532","827","788","815","720","581","659","7,135","POINT (-87.62649 41.82815)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","737","766","706","749","784","906","1,234","1,331","1,163","1,048","914","933","11,271","POINT (-87.70321 41.78186)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","1,540","1,568","1,785","412","3","0","376","1,623","1,907","2,038","2,039","1,764","15,055","POINT (-87.63181 41.85419)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","424","453","472","494","510","482","591","554","518","546","460","489","5,993","POINT (-87.7822 41.77659)"
"Coleman","731 E. 63rd St.","Chicago","60637","956","1,022","1,141","1,297","1,142","1,406","1,496","1,524","1,522","1,707","1,465","1,245","15,923","POINT (-87.60662 41.78014)"
"Daley, Richard J. -Bridgeport","3400 S. Halsted St.","Chicago","60608","869","953","972","1,008","1,131","1,057","1,163","1,100","1,168","1,288","1,045","969","12,723","POINT (-87.64615 41.83257)"
"Daley, Richard M. -W. Humboldt","733 N. Kedzie Ave.","Chicago","60612","1,052","1,384","1,332","1,368","1,236","1,174","1,229","1,421","1,320","1,360","1,240","1,270","15,386","POINT (-87.70618 41.89509)"
"Douglass","3353 W. 13th St.","Chicago","60623","922","861","884","982","976","1,098","1,137","1,439","1,256","1,289","1,144","1,020","13,008","POINT (-87.70967 41.86454)"
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","693","756","867","996","1,045","827","1,120","838","937","970","923","787","10,759","POINT (-87.81368 41.94307)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","319","304","340","265","271","332","429","365","358","355","371","341","4,050","POINT (-87.76197 41.99727)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","1,805","1,997","2,093","2,186","2,279","2,021","2,254","2,314","2,392","2,615","2,525","2,189","26,670","POINT (-87.66057 41.9913)"
