"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","Location"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","1,012","971","1,137","1,019","1,073","965","1,225","1,280","1,334","1,259","1,077","1,166","13,518","POINT (-87.71408 41.97569)"
"Altgeld","955 E. 131st St.","Chicago","60827","800","631","772","692","782","804","837","750","829","944","909","782","9,532","POINT (-87.59861 41.65728)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","1,048","870","945","999","1,005","862","925","934","884","1,127","898","752","11,249","POINT (-87.72663 41.8007)"
"Austin","5615 W. Race Ave.","Chicago","60644","917","885","927","870","928","1,118","1,328","1,426","1,563","1,580","1,723","1,398","14,663","POINT (-87.76597 41.88929)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","662","676","711","690","759","686","733","831","830","823","693","693","8,787","POINT (-87.77952 41.95321)"
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","1,352","1,281","1,675","1,914","2,006","1,546","1,708","1,833","1,811","1,778","1,976","1,904","20,784","POINT (-87.58584 41.74633)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","433","503","536","502","452","454","608","411","460","549","459","385","5,752","POINT (-87.67765 41.80867)"
"Beverly","1962 W. 95th St.","Chicago","60643","1,076","859","1,083","1,129","1,053","1,151","1,152","1,271","1,320","1,431","1,083","1,125","13,733","POINT (-87.6723 41.72114)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","1,294","1,054","1,220","1,307","1,263","1,242","1,344","1,371","1,341","1,532","1,163","1,070","15,201","POINT (-87.6602 41.97181)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","1,388","1,212","1,388","1,463","1,531","1,412","1,590","1,455","1,444","1,722","1,361","1,232","17,198","POINT (-87.59046 41.80606)"
"Brainerd","1350 W. 89th St.","Chicago","60620","524","571","678","622","712","695","728","676","621","653","466","440","7,386","POINT (-87.65774 41.73232)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","821","785","963","916","863","766","849","792","708","684","686","723","9,556","POINT (-87.70303 41.81483)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","1,048","1,122","1,364","1,319","629","1,139","1,221","1,194","1,045","1,187","1,056","984","13,308","POINT (-87.68051 41.91277)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","987","984","1,083","1,041","1,087","1,243","1,639","1,576","1,500","1,485","1,254","1,161","15,040","POINT (-87.69647 41.98393)"
"Canaryville","642 W. 43rd St.","Chicago","60609","291","276","283","295","355","315","305","296","302","318","313","250","3,599","POINT (-87.64257 41.81624)"
"Chicago Bee","3647 S. State St.","Chicago","60609","575","574","712","741","653","647","752","658","804","651","596","601","7,964","POINT (-87.62649 41.82815)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","876","937","1,046","973","1,118","1,090","1,162","1,160","1,283","1,501","1,041","965","13,152","POINT (-87.70321 41.78186)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","1,820","1,847","2,205","1,742","1,853","1,801","1,554","1,466","1,611","1,758","1,388","1,556","20,601","POINT (-87.63181 41.85419)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","544","481","592","475","494","509","613","605","618","623","590","481","6,625","POINT (-87.7822 41.77659)"
"Coleman","731 E. 63rd St.","Chicago","60637","1,406","1,251","1,388","1,400","1,640","1,504","1,589","1,613","1,662","1,925","1,692","1,536","18,606","POINT (-87.60662 41.78014)"
"Daley, Richard J. -Bridgeport","3400 S. Halsted St.","Chicago","60608","947","981","1,231","1,053","1,115","1,145","1,263","1,380","1,133","1,128","1,021","1,031","13,428","POINT (-87.64615 41.83257)"
"Daley, Richard M. -W. Humboldt","733 N. Kedzie Ave.","Chicago","60612","1,707","1,579","1,985","1,603","1,579","1,540","2,025","1,848","1,693","1,594","1,482","1,580","20,215","POINT (-87.70618 41.89509)"
"Douglass","3353 W. 13th St.","Chicago","60623","1,136","906","891","835","922","831","1,281","1,161","1,165","1,088","945","852","12,013","POINT (-87.70967 41.86454)"
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","832","743","922","926","905","765","655","848","847","890","835","822","9,990","POINT (-87.81368 41.94307)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","327","400","366","334","251","321","391","340","374","376","330","293","4,103","POINT (-87.76197 41.99727)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","2,169","2,094","2,549","2,313","2,505","2,353","2,623","2,607","2,739","2,822","2,556","2,368","29,698","POINT (-87.66057 41.9913)"
"Gage Park","2807 W. 55th St.","Chicago","60632","257","248","332","330","344","309","364","355","360","336","313","223","3,771","POINT (-87.69418 41.79369)"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.79733 41.92115)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","629","584","657","605","665","711","916","713","714","732","685","652","8,263","POINT (-87.78009 41.79282)"
"Greater Grand Crossing","1000 E. 73rd St.","Chicago","60619","1,060","1,103","1,209","1,242","1,249","1,312","1,448","1,249","1,278","1,525","1,338","1,068","15,081","POINT (-87.60041 41.76229)"
"Hall","4801 S. Michigan Ave.","Chicago","60615","700","746","778","803","820","845","1,005","888","902","899","752","645","9,783","POINT (-87.6228 41.8073)"
"Harold Washington Library Center","400 S. State Street","Chicago","60605","9,607","9,193","10,619","10,153","10,350","10,473","12,037","11,358","11,140","11,363","10,423","11,245","127,961","POINT (-87.62763 41.87633)"
"Hegewisch","3048 E. 130th St.","Chicago","60633","299","280","353","332","313","294","275","360","336","303","300","270","3,715","POINT (-87.54911 41.65943)"
"Humboldt Park","1605 N. Troy St.","Chicago","60647","103","0","0","0","0","348","970","963","971","1,238","1,000","981","6,574","POINT (-87.70531 41.91073)"
"Independence","4024 N. Elston Ave.","Chicago","60618","661","579","752","691","789","693","782","877","760","952","795","686","9,017","POINT (-87.72009 41.95432)"
"Jefferson Park","5363 W. Lawrence Ave.","Chicago","60630","738","722","931","876","943","882","1,065","1,147","1,035","1,011","849","858","11,057","POINT (-87.76196 41.96763)"
"Jeffery Manor","2401 E. 100th St.","Chicago","60617","607","576","609","694","677","703","661","839","937","1,136","960","802","9,201","POINT (-87.56556 41.71352)"
"Kelly","6151 S. Normal Blvd.","Chicago","60621","687","626","743","709","759","806","842","857","778","895","852","869","9,423","POINT (-87.63725 41.7822)"
"King","3436 S. King Dr.","Chicago","60616","1,099","1,177","1,261","1,210","1,147","1,084","1,176","1,304","1,347","1,403","1,197","1,154","14,559","POINT (-87.61732 41.83198)"
"Legler Regional","115 S. Pulaski Rd.","Chicago","60624","1,510","1,563","1,896","1,795","1,816","1,746","2,153","2,156","2,164","2,590","2,047","2,344","23,780","POINT (-87.72561 41.87932)"
"Lincoln Belmont","1659 W. Melrose St.","Chicago","60657","957","782","830","839","839","803","953","921","958","1,031","860","844","10,617","POINT (-87.67092 41.94056)"
"Lincoln Park","1150 W. Fullerton Ave.","Chicago","60614","981","965","1,133","1,102","1,111","1,083","1,280","1,190","1,168","1,165","1,067","987","13,232","POINT (-87.65789 41.92559)"
"Little Italy","1336 W. Taylor St.","Chicago","60607","1,049","967","1,085","1,058","1,223","1,037","1,050","1,173","1,152","1,360","1,014","992","13,160","POINT (-87.66059 41.86937)"
"Little Village","2311 S. Kedzie Ave.","Chicago","60623","1,204","1,162","1,368","1,249","1,222","1,258","1,504","1,358","1,228","1,284","1,019","1,030","14,886","POINT (-87.70518 41.84951)"
"Logan Square","3030 W. Fullerton Ave.","Chicago","60647","1,521","1,338","1,743","1,639","1,690","1,348","1,455","1,546","1,476","1,779","1,349","1,344","18,228","POINT (-87.70341 41.92476)"
"Lozano","1805 S. Loomis St.","Chicago","60608","1,868","1,912","2,207","1,840","235","882","1,635","1,796","1,545","1,605","1,496","1,586","18,607","POINT (-87.66129 41.85762)"
"Manning","6 S. Hoyne Ave.","Chicago","60612","861","747","968","1,028","991","876","1,021","968","954","974","869","1,031","11,288","POINT (-87.67957 41.88081)"
"Mayfair","4400 W. Lawrence Ave.","Chicago","60630","322","305","368","327","382","326","379","437","457","449","365","313","4,430","POINT (-87.7381 41.96812)"
"McKinley Park","1915 W. 35th St.","Chicago","60609","711","672","808","686","778","860","829","787","816","834","657","608","9,046","POINT (-87.67344 41.83041)"
