"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","Location"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","6,565","7,308","6,554","7,159","7,552","7,332","6,618","7,312","7,565","8,259","7,826","7,156","87,206","POINT (-87.714061005 41.975447006)"
"Altgeld","955 E. 131st St.","Chicago","60827","3,342","3,529","4,242","4,346","3,959","4,839","2,810","3,906","3,223","3,314","3,345","2,750","43,605","POINT (-87.5985899 41.657217043)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","3,282","6,377","6,239","2,610","737","3,666","3,413","3,636","3,355","4,205","3,412","3,186","44,118","POINT (-87.726678032 41.800891986)"
"Austin","5615 W. Race Ave.","Chicago","60644","3,335","3,313","4,077","4,028","4,296","4,550","5,270","7,198","6,241","6,725","6,221","4,825","60,079","POINT (-87.765813976 41.88902598)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","3,165","3,462","3,438","3,240","3,052","3,337","3,155","0","0","4,253","3,086","2,351","32,539","POINT (-87.779555017 41.953195986)"
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","3,345","3,417","4,169","3,917","3,614","4,085","4,342","4,300","4,234","4,408","3,747","3,493","47,071","POINT (-87.586262965 41.746330993)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","2,440","2,529","3,529","3,525","3,473","3,604","3,501","3,189","3,831","3,369","2,907","2,540","38,437","POINT (-87.678143963 41.807980981)"
"Beverly","1962 W. 95th St.","Chicago","60643","2,724","2,792","3,527","2,989","2,642","3,185","3,346","3,131","2,884","2,952","3,041","2,630","35,843","POINT (-87.672148974 41.721352)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","3,766","3,742","4,305","4,302","4,027","4,123","4,285","4,612","4,098","3,935","3,578","3,463","48,236","POINT (-87.660752017 41.971581984)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","6,396","6,111","8,340","7,206","7,152","8,224","8,345","8,946","8,389","7,709","7,086","7,221","91,125","POINT (-87.590339001 41.805839991)"
"Brainerd","1350 W. 89th St.","Chicago","60620","762","1,023","1,033","1,397","1,082","1,318","1,394","1,426","1,144","1,136","1,130","965","13,810","POINT (-87.65773998 41.732529016)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","2,346","3,629","4,285","4,267","3,130","3,435","3,462","3,747","3,079","3,741","3,085","2,909","41,115","POINT (-87.703195041 41.815067)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","3,662","5,151","5,208","5,988","3,646","4,386","4,419","4,570","4,285","4,448","4,157","4,175","54,095","POINT (-87.680352008 41.912560017)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","3,641","6,962","6,465","5,755","3,924","4,781","5,295","4,429","4,389","4,516","3,745","3,358","57,260","POINT (-87.696332022 41.983373017)"
"Canaryville","642 W. 43rd St.","Chicago","60609","1,228","1,290","1,720","1,420","1,275","1,470","1,485","1,644","1,425","1,780","1,690","1,505","17,932","POINT (-87.642596982 41.81648899)"
"Chicago Bee","3647 S. State St.","Chicago","60609","881","1,022","1,216","1,197","1,033","1,100","1,148","1,295","1,515","1,831","1,647","1,537","15,422","POINT (-87.626229975 41.828173991)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","3,320","3,687","4,129","4,358","3,964","4,481","4,509","4,875","4,097","4,842","4,439","3,946","50,647","POINT (-87.703539034 41.78196699)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","12,943","12,093","16,430","16,045","16,491","17,259","19,667","18,550","16,308","16,745","15,519","14,655","192,705","POINT (-87.632128991 41.853762014)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","1,095","630","610","2,935","480","2,635","550","1,185","1,760","1,805","985","2,365","17,035","POINT (-87.78226497 41.776457984)"
"Coleman","731 E. 63rd St.","Chicago","60637","2,221","1,750","1,802","2,812","2,529","2,989","3,520","3,178","2,674","2,055","3,048","2,641","31,219","POINT (-87.606835006 41.780134999)"
"Daley, Richard J.","3400 S. Halsted St.","Chicago","60608","1,754","2,150","3,544","5,498","4,445","5,410","5,723","5,372","5,030","4,858","5,152","4,671","53,607","POINT (-87.646464979 41.832637983)"
"Daley, Richard M.","733 N. Kedzie Ave.","Chicago","60612","3,948","4,199","5,000","4,322","4,013","3,825","4,189","5,086","3,251","4,891","4,163","4,406","51,293","POINT (-87.706459033 41.894687736)"
"Douglass","3353 W. 13th St.","Chicago","60623","2,281","1,605","1,818","400","499","1,840","1,788","2,003","2,240","2,135","2,388","2,147","21,144","POINT (-87.709678054 41.864482714)"
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","5,224","5,559","5,898","6,175","6,047","5,838","6,034","5,665","5,731","5,593","5,028","5,267","68,059","POINT (-87.813799762 41.943288933)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","5,774","5,827","6,259","5,770","5,878","8,215","7,425","5,457","4,438","4,659","4,569","4,112","68,383","POINT (-87.762086963 41.997127008)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","8,408","8,676","9,075","10,534","8,299","10,364","10,292","9,628","11,368","5,796","5,667","7,253","105,360","POINT (-87.660700971 41.99115201)"
"Gage Park","2807 W. 55th St.","Chicago","60632","1,715","1,511","3,794","2,243","1,879","2,284","2,555","2,322","2,017","2,519","1,877","1,474","26,190","POINT (-87.694177035 41.793441019)"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.797316476 41.921091352)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","4,670","4,862","5,640","5,194","4,791","6,500","5,543","4,764","4,868","4,837","4,553","3,601","59,823","POINT (-87.780219031 41.792989989)"
"Greater Grand Crossing","1000 E. 73rd St.","Chicago","60619","2,850","2,852","3,992","3,740","4,183","2,276","1,640","2,844","4,226","2,433","2,291","1,851","35,178","POINT (-87.600424023 41.762564015)"
"Hall","4801 S. Michigan Ave.","Chicago","60615","2,360","2,208","3,020","2,950","3,310","3,362","3,248","3,163","3,029","3,238","2,548","2,230","34,666","POINT (-87.62227598 41.807196015)"
"Harold Washtington Library Center","400 S. State St.","Chicago","60605","31,440","34,144","37,003","32,806","39,548","33,618","37,799","44,128","37,575","36,504","32,188","33,318","430,071","POINT (-87.628394015 41.876313985)"
"Hegewisch","3048 E. 130th St.","Chicago","60633","1,245","1,501","1,511","1,577","1,150","1,540","1,351","1,313","1,143","1,128","1,239","1,294","15,992","POINT (-87.548928963 41.659408981)"
"Humboldt Park","1605 N. Troy St.","Chicago","60647","2,134","4,843","2,767","2,608","2,404","3,300","3,144","3,394","3,111","3,181","2,807","2,309","36,002","POINT (-87.705306023 41.910454986)"
"Independence","4024 N. Elston Ave.","Chicago","60618","3,638","4,542","4,108","3,993","3,366","4,041","3,538","3,701","3,298","3,953","3,899","3,235","45,312","POINT (-87.720335027 41.954129982)"
"Jefferson Park","5363 W. Lawrence Ave.","Chicago","60630","3,187","2,839","3,345","5,012","4,369","5,264","5,304","6,179","5,462","5,379","4,124","3,909","54,373","POINT (-87.761986967 41.967361989)"
"Jeffery Manor","2401 E. 100th St.","Chicago","60617","920","1,797","1,731","1,890","1,946","1,618","1,267","1,467","1,653","1,559","1,269","1,209","18,326","POINT (-87.565532004 41.713237018)"
"Kelly","6151 S. Normal Blvd.","Chicago","60621","2,361","2,276","2,598","3,035","2,901","3,041","3,129","3,338","2,365","2,959","2,759","2,737","33,499","POINT (-87.637248993 41.781998003)"
"King","3436 S. King Dr.","Chicago","60616","1,208","1,333","1,377","1,452","1,640","1,814","1,461","1,567","1,538","1,624","1,387","1,558","17,959","POINT (-87.61740245 41.83221959)"
"Legler Regional","115 S. Pulaski Rd.","Chicago","60624","2,745","2,781","3,538","3,476","3,090","3,437","60","0","0","0","0","0","19,127","POINT (-87.725276997 41.879315)"
"Lincoln Belmont","1659 W. Melrose St.","Chicago","60657","7,534","7,608","8,966","8,509","7,509","9,024","9,467","9,555","8,695","9,837","9,203","7,834","103,741","POINT (-87.67089303 41.940323981)"
"Lincoln Park","1150 W. Fullerton Ave.","Chicago","60614","9,102","13,927","14,045","14,697","7,933","9,466","9,396","9,481","8,851","8,162","8,993","8,492","122,545","POINT (-87.658148011 41.925597019)"
"Little Italy","1336 W. Taylor St.","Chicago","60607","7,679","7,318","8,778","8,378","8,675","8,005","8,511","8,879","8,638","8,827","7,815","7,273","98,776","POINT (-87.660522962 41.869428203)"
"Little Village","2311 S. Kedzie Ave.","Chicago","60623","2,402","3,042","3,836","3,653","3,665","3,909","4,682","4,318","4,519","4,565","3,689","4,031","46,311","POINT (-87.70483496 41.849551993)"
"Logan Square","3030 W. Fullerton Ave.","Chicago","60647","10,711","9,805","12,323","11,115","10,463","11,429","12,997","13,051","11,696","12,034","10,598","10,432","136,654","POINT (-87.703494023 41.925085011)"
"Lozano","1805 S. Loomis St.","Chicago","60608","3,697","5,999","5,354","4,991","4,079","4,545","4,504","4,648","4,540","5,411","5,596","6,069","59,433","POINT (-87.660929965 41.857622006)"
"Manning","6 S. Hoyne Ave.","Chicago","60612","3,272","3,333","3,536","3,999","4,068","3,629","3,954","4,391","4,727","4,486","4,407","3,464","47,266","POINT (-87.679589003 41.881057011)"
"Mayfair","4400 W. Lawrence Ave.","Chicago","60630","1,585","2,201","2,908","3,110","2,901","3,161","3,045","3,071","2,763","2,796","2,692","2,582","32,815","POINT (-87.738195019 41.968392)"
"McKinley Park","1915 W. 35th St.","Chicago","60609","4,587","7,009","7,157","5,770","5,816","6,729","6,146","5,622","5,208","6,846","5,289","4,987","71,166","POINT (-87.673593009 41.830171985)"
"Merlo","644 W. Belmont Ave.","Chicago","60657","8,024","12,599","13,585","11,985","8,442","8,532","8,912","9,081","8,533","8,466","8,240","7,506","113,905","POINT (-87.64621897 41.94032)"
"Mount Greenwood","11010 S. Kedzie Ave.","Chicago","60655","2,044","297","1,227","2,623","2,433","2,871","2,322","2,028","2,077","2,904","2,074","2,282","25,182","POINT (-87.701221019 41.693149997)"
"Near North","310 W. Division St.","Chicago","60610","6,661","11,052","11,254","10,335","6,868","7,742","7,949","8,459","7,779","7,921","7,670","7,324","101,014","POINT (-87.636579027 41.904139012)"
"North Austin","5724 W. North Ave.","Chicago","60639","1,632","1,472","1,880","1,925","1,831","1,924","2,089","1,923","1,613","1,688","1,520","1,556","21,053","POINT (-87.768897008 41.909612018)"
"North Pulaski","4300 W. North Ave.","Chicago","60639","2,612","2,322","2,771","2,719","2,774","2,870","3,003","3,142","2,878","3,182","2,863","3,172","34,308","POINT (-87.733982023 41.910143011)"
"Northtown","6800 N. Western Ave.","Chicago","60645","6,176","10,135","9,397","8,077","6,293","7,129","7,137","6,992","7,298","6,864","6,720","5,965","88,183","POINT (-87.690425966 42.005475006)"
"Oriole Park","7454 W. Balmoral Ave.","Chicago","60656","4,896","4,824","5,486","5,025","4,954","5,167","5,096","5,586","5,239","5,666","5,112","4,991","62,042","POINT (-87.813854016 41.978383983)"
"Portage-Cragin","5108 W. Belmont Ave.","Chicago","60641","4,569","7,520","9,359","8,386","7,057","3,908","3,897","4,176","4,221","4,366","3,853","3,507","64,819","POINT (-87.754936026 41.938944991)"
"Pullman","11001 S. Indiana Ave.","Chicago","60628","2,874","3,466","3,866","3,738","3,481","3,371","4,103","4,031","3,145","3,910","3,655","3,448","43,088","POINT (-87.617958965 41.694371994)"
"Roden","6083 N. Northwest Hwy.","Chicago","60631","4,217","13,491","13,435","9,104","4,589","5,143","5,997","7,676","5,211","6,357","6,448","5,091","86,759","POINT (-87.798020014 41.992153983)"
"Rogers Park","6907 N. Clark St.","Chicago","60626","6,634","7,712","11,081","10,685","10,224","9,638","8,650","6,350","9,825","11,875","11,225","10,975","114,874","POINT (-87.673358664 42.006785587)"
"Scottsdale","4101 W. 79th St.","Chicago","60652","2,976","3,537","3,839","3,764","3,258","3,596","3,541","3,569","2,927","3,502","2,867","2,718","40,094","POINT (-87.72458197 41.749175015)"
"Sherman Park","5440 S. Racine Ave.","Chicago","60609","964","1,225","1,200","1,195","1,107","1,210","1,442","1,758","1,167","1,542","1,405","1,118","15,333","POINT (-87.655146032 41.794848005)"
"South Chicago","9055 S. Houston Ave.","Chicago","60617","3,160","2,950","3,729","2,989","3,119","3,391","3,409","3,614","3,754","3,661","3,332","3,162","40,270","POINT (-87.54953598 41.730379016)"
"South Shore","2505 E. 73rd St.","Chicago","60649","1,736","2,083","2,268","2,369","2,536","2,395","2,581","3,062","2,748","2,952","2,466","2,565","29,761","POINT (-87.563717993 41.762449016)"
"Sulzer Regional Library","4455 N. Lincoln Ave.","Chicago","60625","19,382","19,383","22,779","19,675","20,137","21,418","21,126","23,377","22,103","22,543","22,597","20,774","255,294","POINT (-87.68438999 41.962757014)"
"Thurgood Marshall","7506 S. Racine Ave.","Chicago","60620","3,169","5,731","6,439","5,623","3,694","4,127","3,926","4,409","3,973","4,329","3,555","3,312","52,287","POINT (-87.654376993 41.757374989)"
"Toman","2708 S. Pulaski Rd.","Chicago","60623","2,431","3,178","2,881","2,383","2,992","2,821","2,914","2,353","2,158","2,989","2,507","1,860","31,467","POINT (-87.724872989 41.842066996)"
"Uptown","929 W. Buena Ave.","Chicago","60613","6,937","6,885","7,865","8,517","7,734","8,123","7,872","8,438","7,724","8,651","8,223","7,303","94,272","POINT (-87.654211031 41.958200988)"
"Vodak-East Side","3710 E. 106th St.","Chicago","60617","2,632","3,316","3,622","3,454","2,704","4,074","4,631","4,231","3,645","4,710","3,611","3,224","43,854","POINT (-87.533530988 41.702956991)"
"Walker","11071 S. Hoyne Ave.","Chicago","60643","1,090","1,914","2,029","1,754","1,488","1,554","1,573","1,794","1,426","2,046","1,946","1,397","20,011","POINT (-87.673802975 41.692205985)"
"Water Works","163 E. Pearson Street","Chicago","60611","3,786","3,634","4,445","4,120","4,201","4,448","4,952","5,309","4,677","4,813","4,522","4,263","53,170","POINT (-87.623499989 41.897244017)"
"West Belmont","3104 N. Narragansett Ave.","Chicago","60634","3,469","7,391","6,795","5,312","3,677","4,000","3,759","4,054","3,900","3,712","3,940","3,290","53,299","POINT (-87.786199016 41.936736988)"
"West Chicago Avenue","4856 W. Chicago Ave.","Chicago","60651","1,291","1,499","2,886","1,989","1,623","1,650","2,017","2,266","1,700","1,882","1,342","1,363","21,508","POINT (-87.747994972 41.895320998)"
"West Englewood","1745 W. 63rd St.","Chicago","60636","2,120","2,508","2,557","2,559","2,582","2,756","2,970","3,838","3,353","679","683","2,381","28,986","POINT (-87.668384997 41.779079005)"
"West Lawn","4020 W. 63rd St.","Chicago","60629","2,769","3,212","3,589","3,999","3,832","4,555","4,326","3,932","4,032","3,918","3,481","3,254","44,899","POINT (-87.723808991 41.778908014)"
"West Loop","122 N. Aberdeen St.","Chicago","60607","5,796","5,291","6,469","5,617","5,188","5,595","6,143","6,282","5,845","6,093","5,441","5,191","68,951","POINT (-87.654757028 41.883784985)"
"West Pullman","830 W. 119th St.","Chicago","60643","2,432","8,510","7,576","5,448","2,817","3,351","3,209","3,652","3,140","2,452","2,174","1,878","46,639","POINT (-87.643096963 41.678082017)"
"West Town","1625 W. Chicago Ave.","Chicago","60622","6,684","6,765","8,422","7,309","6,577","5,989","6,849","7,308","6,849","7,390","7,310","7,747","85,199","POINT (-87.668502008 41.895782003)"
"Whitney M. Young, Jr.","415 East 79th St.","Chicago","60619","1,976","3,628","4,051","4,577","2,262","3,477","4,312","4,933","3,916","1,085","3,859","3,446","41,522","POINT (-87.614246033 41.750935005)"
