"BRANCH","ADDRESS","CITY","ZIP","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","YTD","LOCATION"
"Albany Park","3401 W. Foster Ave.","Chicago","60625","6,788","8,014","7,682","7,587","7,859","7,771","7,431","7,340","7,511","8,471","6,660","6,825","89,939","POINT (-87.71408 41.97569)"
"Altgeld","955 E. 131st St.","Chicago","60827","2,809","3,294","3,352","3,812","3,786","4,360","5,606","5,900","4,284","4,925","4,480","4,463","51,071","POINT (-87.59861 41.65728)"
"Archer Heights","5055 S. Archer Ave.","Chicago","60632","3,470","3,553","4,814","3,751","3,746","3,612","3,948","3,994","3,631","4,062","3,714","3,835","46,130","POINT (-87.72663 41.8007)"
"Austin","5615 W. Race Ave.","Chicago","60644","4,599","4,870","5,489","5,651","5,605","5,840","6,362","6,199","5,250","5,676","4,957","4,539","65,037","POINT (-87.76597 41.88929)"
"Austin-Irving","6100 W. Irving Park Rd.","Chicago","60634","2,667","3,443","3,534","3,338","2,907","3,168","3,591","3,371","3,415","3,856","3,263","2,806","39,359","POINT (-87.77952 41.95321)"
"Avalon","8148 S. Stony Island Ave.","Chicago","60617","3,670","4,021","4,788","0","3,245","4,134","5,709","4,794","4,952","5,664","4,743","3,843","49,563","POINT (-87.58584 41.74633)"
"Back of the Yards","2111 W. 47th St.","Chicago","60609","2,547","2,678","3,286","3,507","3,396","3,284","4,135","2,948","2,858","4,044","2,749","2,722","38,154","POINT (-87.67763 41.80849)"
"Beverly","1962 W. 95th St.","Chicago","60643","2,495","2,816","2,987","3,228","2,793","3,121","3,466","3,551","3,324","3,739","3,286","2,919","37,725","POINT (-87.6723 41.72114)"
"Bezazian","1226 W. Ainslie St.","Chicago","60640","3,660","4,131","3,983","4,113","4,076","4,267","4,919","5,116","4,697","4,579","4,326","4,320","52,187","POINT (-87.66009 41.97146)"
"Blackstone","4904 S. Lake Park Ave.","Chicago","60615","7,069","880","6,333","5,950","6,368","4,330","4,601","5,512","6,166","6,378","3,538","4,437","61,562","POINT (-87.59046 41.80606)"
"Brainerd","1350 W. 89th St.","Chicago","60620","898","1,082","1,307","1,264","905","1,167","1,123","934","1,257","1,226","1,221","752","13,136","POINT (-87.65774 41.73232)"
"Brighton Park","4314 S. Archer Ave.","Chicago","60632","3,057","4,226","5,411","5,092","2,621","2,577","3,094","3,286","2,869","3,943","3,081","2,661","41,918","POINT (-87.70303 41.81483)"
"Bucktown-Wicker Park","1701 N. Milwaukee Ave.","Chicago","60647","6,002","4,546","6,091","4,710","4,305","4,852","4,582","5,262","5,720","6,935","7,380","7,943","68,328","POINT (-87.68051 41.91277)"
"Budlong Woods","5630 N. Lincoln Ave.","Chicago","60659","3,686","3,577","5,975","3,963","3,977","4,785","5,395","5,112","4,126","8,529","5,890","3,550","58,565","POINT (-87.69663 41.98353)"
"Canaryville","642 W. 43rd St.","Chicago","60609","1,425","1,445","1,690","1,626","1,440","1,700","2,905","2,820","2,560","2,590","2,510","2,364","25,075","POINT (-87.64257 41.81624)"
"Chicago Bee","3647 S. State St.","Chicago","60609","1,511","1,557","1,794","2,181","2,208","1,770","2,240","1,785","2,349","2,305","1,870","1,790","23,360","POINT (-87.62649 41.82815)"
"Chicago Lawn","6120 S. Kedzie Ave.","Chicago","60629","4,028","4,206","4,498","4,547","4,523","4,702","5,250","5,485","5,268","6,882","5,891","4,008","59,288","POINT (-87.70321 41.78186)"
"Chinatown","2100 S. Wentworth Ave.","Chicago","60616","13,050","16,426","19,228","4,012","0","0","6,799","17,570","15,387","16,704","15,439","15,151","139,766","POINT (-87.63181 41.85419)"
"Clearing","6423 W. 63rd Pl.","Chicago","60638","1,245","1,435","4,034","3,045","3,315","2,280","3,332","3,315","3,026","3,351","3,096","3,095","34,569","POINT (-87.7822 41.77659)"
"Coleman","731 E. 63rd St.","Chicago","60637","3,333","2,655","4,475","5,530","5,174","5,265","5,465","5,309","3,920","4,228","4,384","5,280","55,018","POINT (-87.60662 41.78014)"
"Daley, Richard J.","3400 S. Halsted St.","Chicago","60608","4,547","4,937","5,739","5,623","5,878","6,077","6,922","6,035","6,027","6,580","6,697","6,360","71,422","POINT (-87.64615 41.83257)"
"Daley, Richard M.","733 N. Kedzie Ave.","Chicago","60612","4,343","4,704","6,092","6,281","6,455","6,998","6,394","5,595","5,264","6,890","4,713","4,490","68,219","POINT (-87.70618 41.89509)"
"Douglass","3353 W. 13th St.","Chicago","60623","1,472","1,605","1,876","1,966","1,839","1,846","2,706","2,672","2,196","2,744","2,197","1,666","24,785","POINT (-87.70967 41.86454)"
"Dunning","7455 W. Cornelia Ave.","Chicago","60634","5,424","6,592","6,434","7,942","7,090","6,614","7,623","5,867","6,939","9,944","7,269","5,712","83,450","POINT (-87.81368 41.94307)"
"Edgebrook","5331 W. Devon Ave.","Chicago","60646","4,306","4,215","4,803","5,986","4,405","5,698","5,291","4,968","4,757","5,245","5,103","5,307","60,084","POINT (-87.76197 41.99727)"
"Edgewater","6000 N. Broadway St.","Chicago","60660","9,935","10,552","9,141","11,839","13,378","9,317","12,479","13,001","11,735","12,984","12,242","11,959","138,562","POINT (-87.66057 41.9913)"
"Gage Park","2807 W. 55th St.","Chicago","60632","1,218","1,344","780","1,735","1,458","1,597","2,004","1,857","1,545","2,076","1,364","1,202","18,180","POINT (-87.69418 41.79369)"
"Galewood-Mont Clare","6871 W. Belden Ave.","Chicago","60707","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (-87.79733 41.92115)"
"Garfield Ridge","6348 S. Archer Ave.","Chicago","60638","3,823","4,474","4,809","4,790","4,829","5,861","6,953","5,525","5,681","6,500","5,629","4,998","63,872","POINT (-87.78009 41.79282)"
"Greater Grand Crossing","1000 E. 73rd St.","Chicago","60619","2,117","2,680","2,856","3,790","4,157","2,471","2,207","3,110","5,597","5,694","4,431","2,472","41,582","POINT (-87.60041 41.76229)"
"Hall","4801 S. Michigan Ave.","Chicago","60615","2,814","2,529","3,455","3,775","3,175","3,403","3,875","3,948","3,274","3,461","2,868","2,692","39,269","POINT (-87.6228 41.8073)"
"Harold Washtington Library Center","400 S. State St.","Chicago","60605","41,264","36,634","38,847","40,249","46,447","40,340","41,137","45,185","80,797","92,680","78,227","71,921","653,728","POINT (-87.62763 41.87633)"
"Hegewisch","3048 E. 130th St.","Chicago","60633","1,268","1,359","1,549","1,639","1,397","1,579","1,442","1,438","1,499","1,471","1,597","1,140","17,378","POINT (-87.54911 41.65943)"
"Humboldt Park","1605 N. Troy St.","Chicago","60647","2,189","2,936","4,974","4,440","3,510","3,544","2,075","4,290","3,939","7,710","5,704","2,627","47,938","POINT (-87.70531 41.91073)"
"Independence","4024 N. Elston Ave.","Chicago","60618","3,815","3,539","3,131","3,613","3,565","2,631","3,657","3,722","3,508","3,849","2,865","3,707","41,602","POINT (-87.72009 41.95432)"
"Jefferson Park","5363 W. Lawrence Ave.","Chicago","60630","4,096","4,521","4,888","5,312","4,755","4,556","4,566","3,784","3,409","3,595","3,410","2,994","49,886","POINT (-87.76197 41.96763)"
"Jeffery Manor","2401 E. 100th St.","Chicago","60617","1,141","1,377","1,593","1,602","1,811","1,592","1,457","1,287","1,468","1,738","1,480","1,009","17,555","POINT (-87.56556 41.71352)"
"Kelly","6151 S. Normal Blvd.","Chicago","60621","2,449","2,886","2,986","3,217","3,036","2,749","2,956","2,468","2,854","2,022","2,980","2,777","33,380","POINT (-87.63725 41.7822)"
"King","3436 S. King Dr.","Chicago","60616","1,470","1,737","1,639","1,526","1,443","1,262","1,795","1,963","1,658","1,553","1,436","1,287","18,769","POINT (-87.61732 41.83198)"
"Legler Regional","115 S. Pulaski Rd.","Chicago","60624","1,389","2,835","3,531","3,993","4,002","4,258","5,080","4,560","4,708","5,759","5,019","3,771","48,905","POINT (-87.72561 41.87932)"
"Lincoln Belmont","1659 W. Melrose St.","Chicago","60657","9,307","8,644","9,655","10,067","9,425","10,353","11,469","11,049","9,317","10,123","10,513","9,600","119,522","POINT (-87.67092 41.94056)"
"Lincoln Park","1150 W. Fullerton Ave.","Chicago","60614","10,120","9,483","15,557","10,203","9,745","9,518","10,018","8,982","8,975","12,980","9,830","9,290","124,701","POINT (-87.65789 41.92559)"
"Little Italy","1336 W. Taylor St.","Chicago","60607","7,809","8,016","8,467","9,011","8,818","8,801","9,756","8,902","8,916","10,466","8,445","7,786","105,193","POINT (-87.66059 41.86937)"
"Little Village","2311 S. Kedzie Ave.","Chicago","60623","4,454","4,518","4,802","5,586","5,562","5,559","6,148","5,685","5,282","5,439","5,054","4,352","62,441","POINT (-87.70518 41.84951)"
"Logan Square","3030 W. Fullerton Ave.","Chicago","60647","11,684","11,973","12,860","12,406","12,178","14,258","14,130","13,417","11,320","12,281","9,429","8,581","144,517","POINT (-87.70341 41.92476)"
"Lozano","1805 S. Loomis St.","Chicago","60608","9,734","7,850","10,848","7,261","4,572","4,613","5,952","6,203","5,605","9,845","12,312","7,664","92,459","POINT (-87.66129 41.85762)"
"Manning","6 S. Hoyne Ave.","Chicago","60612","3,477","4,214","4,370","3,152","3,805","4,010","3,511","2,800","3,561","3,874","3,277","2,886","42,937","POINT (-87.67957 41.88081)"
"Mayfair","4400 W. Lawrence Ave.","Chicago","60630","2,361","2,694","2,837","2,934","2,951","3,376","3,968","3,103","2,813","3,151","2,588","2,621","35,397","POINT (-87.7381 41.96812)"
"McKinley Park","1915 W. 35th St.","Chicago","60609","5,519","5,800","8,242","6,737","6,688","5,867","7,242","6,886","6,381","8,992","7,305","5,427","81,086","POINT (-87.67344 41.83041)"
"Merlo","644 W. Belmont Ave.","Chicago","60657","8,236","7,982","13,228","8,842","9,040","9,290","9,720","10,067","9,454","18,449","14,183","7,855","126,346","POINT (-87.64627 41.94004)"
"Mount Greenwood","11010 S. Kedzie Ave.","Chicago","60655","2,562","2,324","2,383","2,491","2,487","2,601","2,854","2,229","1,838","2,466","2,057","1,741","28,033","POINT (-87.70121 41.69282)"
"Near North","310 W. Division St.","Chicago","60610","8,119","8,397","13,196","9,458","8,888","9,005","10,528","9,624","9,430","17,064","13,246","9,036","125,991","POINT (-87.63663 41.90379)"
"North Austin","5724 W. North Ave.","Chicago","60639","1,609","1,835","1,779","1,897","1,928","1,820","2,471","1,898","1,930","2,262","1,860","1,594","22,883","POINT (-87.76886 41.90933)"
"North Pulaski","4300 W. North Ave.","Chicago","60639","2,716","2,377","2,781","3,052","3,076","3,409","3,268","3,375","3,458","3,818","3,111","2,942","37,383","POINT (-87.73404 41.91003)"
"Northtown","6800 N. Western Ave.","Chicago","60645","5,960","6,472","9,583","7,042","6,909","7,548","7,793","7,947","7,339","14,109","10,031","6,281","97,014","POINT (-87.69033 42.00503)"
"Oriole Park","7454 W. Balmoral Ave.","Chicago","60656","5,584","5,934","5,505","6,051","5,714","5,742","6,023","6,009","5,842","5,825","6,126","5,205","69,560","POINT (-87.81387 41.978)"
"Portage-Cragin","5108 W. Belmont Ave.","Chicago","60641","3,842","4,181","6,872","4,242","4,270","4,513","4,929","4,797","4,575","10,300","9,668","4,362","66,551","POINT (-87.7547 41.93873)"
"Pullman","11001 S. Indiana Ave.","Chicago","60628","3,458","3,228","3,971","4,106","4,437","5,401","3,458","4,030","4,711","5,178","3,969","3,599","49,546","POINT (-87.61829 41.69437)"
"Roden","6083 N. Northwest Hwy.","Chicago","60631","5,144","5,055","13,132","5,384","5,196","5,850","6,148","6,010","5,192","17,995","9,305","5,960","90,371","POINT (-87.79832 41.99194)"
"Rogers Park","6907 N. Clark St.","Chicago","60626","11,775","10,925","11,575","11,350","11,900","11,250","10,480","12,016","10,272","11,376","10,448","10,639","134,006","POINT (-87.67341 42.00669)"
"Scottsdale","4101 W. 79th St.","Chicago","60652","2,744","2,662","4,124","3,232","3,201","3,231","3,798","3,637","3,712","3,992","4,380","2,920","41,633","POINT (-87.7246 41.7494)"
"Sherman Park","5440 S. Racine Ave.","Chicago","60609","991","1,027","999","1,354","1,259","1,313","1,579","1,340","1,120","1,486","1,352","1,187","15,007","POINT (-87.65489 41.79485)"
"South Chicago","9055 S. Houston Ave.","Chicago","60617","3,337","3,483","3,989","5,075","3,952","4,108","4,308","4,296","4,307","4,348","3,635","3,402","48,240","POINT (-87.54984 41.73037)"
"South Shore","2505 E. 73rd St.","Chicago","60649","2,299","2,254","2,748","2,935","2,678","2,553","3,251","3,151","2,491","3,448","3,440","2,736","33,984","POINT (-87.56373 41.76264)"
"Sulzer Regional Library","4455 N. Lincoln Ave.","Chicago","60625","23,531","24,065","20,998","25,531","22,772","25,748","27,604","27,064","25,007","28,833","26,638","24,472","302,263","POINT (-87.68467 41.96267)"
"Thurgood Marshall","7506 S. Racine Ave.","Chicago","60620","3,277","3,392","7,706","4,029","3,664","4,135","4,278","4,089","4,113","10,292","6,750","10,182","65,907","POINT (-87.65437 41.75711)"
"Toman","2708 S. Pulaski Rd.","Chicago","60623","1,754","1,875","2,894","2,280","2,388","3,310","4,357","2,635","1,994","3,338","2,600","2,037","31,462","POINT (-87.72483 41.84181)"
"Uptown","929 W. Buena Ave.","Chicago","60613","7,961","7,991","8,878","8,467","8,704","9,079","10,513","10,349","9,288","10,360","10,470","6,701","108,761","POINT (-87.65422 41.95843)"
"Vodak-East Side","3710 E. 106th St.","Chicago","60617","2,768","3,212","5,278","4,475","4,245","4,878","4,935","4,502","3,874","6,796","6,689","3,398","55,050","POINT (-87.53348 41.703)"
"Walker","11071 S. Hoyne Ave.","Chicago","60643","1,582","1,606","2,131","2,009","2,247","2,143","2,257","2,093","2,237","2,562","2,343","1,899","25,109","POINT (-87.67412 41.6922)"
"Water Works","163 E. Pearson Street","Chicago","60611","4,165","4,170","3,648","3,553","3,935","3,994","4,533","4,775","4,004","0","0","0","36,777","POINT (-87.62307 41.89759)"
"West Belmont","3104 N. Narragansett Ave.","Chicago","60634","3,547","2,844","2,985","3,605","3,730","3,600","3,734","3,847","3,609","3,870","3,613","3,707","42,691","POINT (-87.78589 41.93685)"
"West Chicago Avenue","4856 W. Chicago Ave.","Chicago","60651","1,294","1,505","2,446","1,898","1,717","1,836","2,140","2,003","1,595","4,069","3,634","1,654","25,791","POINT (-87.74769 41.8953)"
"West Englewood","1745 W. 63rd St.","Chicago","60636","2,614","2,735","3,530","3,608","3,737","3,728","4,674","4,332","4,099","4,664","4,353","3,251","45,325","POINT (-87.66852 41.77939)"
"West Lawn","4020 W. 63rd St.","Chicago","60629","2,731","3,211","4,092","4,253","4,117","4,274","4,556","3,989","3,863","4,535","4,236","3,188","47,045","POINT (-87.72384 41.77866)"
"West Loop","122 N. Aberdeen St.","Chicago","60607","5,465","5,552","6,420","6,048","5,566","6,805","7,101","6,411","6,437","6,742","6,327","5,686","74,560","POINT (-87.65477 41.88387)"
"West Pullman","830 W. 119th St.","Chicago","60643","1,880","579","7,551","3,187","471","2,353","2,989","3,290","3,714","11,251","6,971","3,598","47,834","POINT (-87.64311 41.6778)"
"West Town","1625 W. Chicago Ave.","Chicago","60622","7,600","7,196","8,367","8,588","7,496","8,028","9,109","8,417","7,662","10,759","9,721","8,666","101,609","POINT (-87.66849 41.8956)"
"Whitney M. Young, Jr.","415 East 79th St.","Chicago","60619","3,592","1,101","6,517","3,712","4,058","4,046","4,648","4,757","4,547","8,990","5,147","3,867","54,982","POINT (-87.61425 41.75111)"
"Woodson Regional Library","9525 S. Halsted St.","Chicago","60628","5,962","6,571","6,272","8,086","7,799","6,070","8,609","9,016","8,113","8,894","6,757","6,144","88,293","POINT (-87.64285 41.72048)"
"Wrightwood-Ashburn","8530 S. Kedzie Ave.","Chicago","60652","1,934","2,112","10,695","2,888","2,597","2,774","2,821","2,715","2,623","7,507","5,842","2,339","46,847","POINT (-87.70227 41.73742)"
